Date,categoryname,units_sold
12-18-1984,Tomato Ketchup & Sauces,40
12-19-1984,Pet Meals & Treats,36
12-20-1984,"Chocolate, Peanut Spread",50
12-21-1984,Face Care,96
12-22-1984,Trail & Cocktail Mixes,80
12-23-1984,Chocolates,29
12-24-1984,Roasted Seeds & Nuts,30
12-25-1984,"Organic Rice, Other Rice",68
12-26-1984,Eau De Toilette,43
12-27-1984,Adult Diapers,47
12-28-1984,"Jams, Marmalade, Spreads",70
12-29-1984,Oats & Porridge,36
12-30-1984,Lip Care,47
01-01-1985,Plates & Bowls,34
01-02-1985,Groundnut Oil,111
01-03-1985,Supplements & Proteins,181
01-04-1985,Colours & Crayons,250
01-05-1985,Gourmet Tea & Tea Bags,23
01-06-1985,Cook And Serve,40
01-07-1985,Mosquito Repellent,53
01-08-1985,Powdered Spices,30
01-09-1985,Floor & Other Cleaners,15
01-10-1985,Chicken Sausages,27
01-11-1985,Floor & Other Cleaners,77
01-12-1985,"Curry Paste, Coconut Milk",34
1-13-1985,Juices,124
1-14-1985,Flours & Pre-Mixes,45
1-15-1985,Floor & Other Cleaners,39
1-16-1985,Battery & Electrical,63
1-17-1985,Shampoo & Conditioner,47
1-18-1985,Leafy Vegetables,35
1-19-1985,Men's Deodorants,17
1-20-1985,Aromatherapy,22
1-21-1985,Bathing Accessories,14
1-22-1985,Namkeen & Savoury Snacks,17
1-23-1985,Air Freshener,29
1-24-1985,Supplements & Proteins,14
1-25-1985,Cold Drinks,90
1-26-1985,Hand Wash & Sanitizers,49
1-27-1985,Face Masks & Safety Gears,15
1-28-1985,Mosquito Repellent,23
1-29-1985,Chilli & Soya Sauce,23
1-30-1985,Casserole,36
1-31-1985,Cheese,28
02-01-1985,Premium Cookies,28
02-02-1985,Pastries & Brownies,8
02-03-1985,Soda & Cocktail Mix,51
02-04-1985,Roasted Seeds & Nuts,37
02-05-1985,Shaving Care,39
02-06-1985,Containers Sets,33
02-07-1985,Muesli & Rice Cakes,20
02-08-1985,"Aerated, Still, Sparkling",18
02-09-1985,Gourmet Tea & Tea Bags,7
02-10-1985,Steel Storage Containers,19
02-11-1985,Aromatherapy,80
02-12-1985,Lamp & Lamp Oil,91
2-13-1985,Chutney Powder,33
2-14-1985,Lamp & Lamp Oil,36
2-15-1985,Nachos & Chips,28
2-16-1985,Herbs & Seasoning,46
2-17-1985,Dishwash Bars & Powders,22
2-18-1985,Herbs & Seasoning,18
2-19-1985,"Organic Sugar, Jaggery",37
2-20-1985,Kitchen Tools & Other Accessories,9
2-21-1985,Blended Masalas,37
2-22-1985,Pork & Ham,32
2-23-1985,Flavoured & Other Oils,13
2-24-1985,Bathing Bars & Soaps,51
2-25-1985,"Banana, Sapota & Papaya",7
2-26-1985,"Luxury Chocolates, Gifts",74
2-27-1985,Yogurt & Shrikhand,83
2-28-1985,Tampons & Menstrual Cups,17
03-01-1985,Diapers,15
03-02-1985,Nachos & Chips,30
03-03-1985,"Bakery Biscuits, Cookies",14
03-04-1985,Flours & Pre-Mixes,67
03-05-1985,Bathing Bars & Soaps,18
03-06-1985,Health Drinks,42
03-07-1985,Gourmet Ice Cream,26
03-08-1985,Bathing Bars & Soaps,39
03-09-1985,Hair Removal,41
03-10-1985,Ayurveda,34
03-11-1985,Toothpaste,20
03-12-1985,Syrups & Concentrates,5
3-13-1985,Mouthwash,16
3-14-1985,Face Care,39
3-15-1985,Buckets & Mugs,8
3-16-1985,Face Care,33
3-17-1985,Frozen Vegetables,164
3-18-1985,Chocolates,204
3-19-1985,Organic Flours,93
3-20-1985,"Healthy, Baked Snacks",34
3-21-1985,Gift Sets,71
3-22-1985,Nachos & Chips,156
3-23-1985,"Flavoured, Soya Milk",67
3-24-1985,"Hummus, Cheese, Salsa Dip",90
3-25-1985,"Condensed, Powdered Milk",68
3-26-1985,Blended Masalas,141
3-27-1985,Dishwash Liquids & Pastes,48
3-28-1985,Organic Masalas & Spices,86
3-29-1985,"Notebooks, Files, Folders",101
3-30-1985,Dips & Dressings,121
3-31-1985,Honey & Maple Syrup,26
04-01-1985,Extra Virgin Olive Oil,53
04-02-1985,Shampoo & Conditioner,9
04-03-1985,Moustache & Beard Care,15
04-04-1985,Aromatherapy,36
04-05-1985,Bathing Bars & Soaps,8
04-06-1985,Shaving Care,10
04-07-1985,Face Care,24
04-08-1985,Cheese,44
04-09-1985,Ayurveda,16
04-10-1985,Soups,13
04-11-1985,Sanitary Napkins,10
04-12-1985,Imported Cleaners,74
4-13-1985,Pet Meals & Treats,46
4-14-1985,Men & Women,80
4-15-1985,"Toor, Channa & Moong Dal",59
4-16-1985,Supplements & Proteins,26
4-17-1985,Face Care,50
4-18-1985,Baby Bath,34
4-19-1985,"Poha, Sabudana & Murmura",100
4-20-1985,Face Care,48
4-21-1985,Glassware,27
4-22-1985,Face Care,79
4-23-1985,Tawa & Sauce Pan,58
4-24-1985,International Cheese,48
4-25-1985,Steel Storage Containers,18
4-26-1985,Shampoo & Conditioner,49
4-27-1985,Face Care,10
4-28-1985,"Papads, Ready To Fry",85
4-29-1985,"Caps, Balloons & Candles",110
4-30-1985,"Sooji, Maida & Besan",47
05-01-1985,"Cutlery, Spoon & Fork",26
05-02-1985,Shaving Care,44
05-03-1985,Face Care,82
05-04-1985,Mayonnaise,44
05-05-1985,Water & Fridge Bottles,33
05-06-1985,Glassware,97
05-07-1985,Fresh Mutton,37
05-08-1985,Containers Sets,35
05-09-1985,Bathing Bars & Soaps,28
05-10-1985,Dry Fruits & Berries,52
05-11-1985,Shampoo & Conditioner,50
05-12-1985,Shampoo & Conditioner,18
5-13-1985,Hand Wash & Sanitizers,52
5-14-1985,Diapers,7
5-15-1985,Glassware,10
5-16-1985,Blended Cooking Oils,14
5-17-1985,"Toor, Channa & Moong Dal",34
5-18-1985,Face Care,3
5-19-1985,Lip Care,33
5-20-1985,"Cookies, Biscotti, Wafer",25
5-21-1985,"Strainer, Ladle, Spatula",23
5-22-1985,"Pure, Pomace Olive Oil",42
5-23-1985,Leaf & Dust Tea,23
5-24-1985,Kadai & Fry Pans,41
5-25-1985,Dry Fruits & Berries,26
5-26-1985,Chicken Sausages,76
5-27-1985,Bathing Bars & Soaps,49
5-28-1985,Dustbins,20
5-29-1985,Organic Masalas & Spices,9
5-30-1985,Chicken Sausages,114
5-31-1985,Attar,54
06-01-1985,Eau De Toilette,113
06-02-1985,Exam Pads & Pencil Box,53
06-03-1985,Balsamic & Cider Vinegar,50
06-04-1985,Insect Repellent,55
06-05-1985,Chocolates,39
06-06-1985,Glassware,46
06-07-1985,Organic Masalas & Spices,31
06-08-1985,"Toor, Channa & Moong Dal",53
06-09-1985,Chocolates,107
06-10-1985,Organic Dry Fruits,28
06-11-1985,Face Care,26
06-12-1985,Tomatoes & Vegetables,29
6-13-1985,Gourmet Tea & Tea Bags,51
6-14-1985,Other Edible Oils,17
6-15-1985,Muffins & Cup Cakes,21
6-16-1985,Body Care,28
6-17-1985,"Cups, Mugs & Tumblers",15
6-18-1985,Face Care,49
6-19-1985,Dips & Dressings,15
6-20-1985,Nachos & Chips,16
6-21-1985,Granola & Cereal Bars,34
6-22-1985,Granola & Cereal Bars,33
6-23-1985,Shower Gel & Body Wash,198
6-24-1985,Crackers & Digestive,190
6-25-1985,Ayurveda,33
6-26-1985,Containers Sets,51
6-27-1985,Bathing Bars & Soaps,46
6-28-1985,"Herbs, Seasonings & Rubs",136
6-29-1985,Hand Wash & Sanitizers,64
6-30-1985,Ayurveda,41
07-01-1985,Coffee & Pre-Mix,41
07-02-1985,"Toffee, Candy & Lollypop",137
07-03-1985,Whole Spices,14
07-04-1985,Body Sprays & Mists,15
07-05-1985,Baby Creams & Lotions,32
07-06-1985,Diapers,61
07-07-1985,Ayurveda,56
07-08-1985,Organic Masalas & Spices,40
07-09-1985,"Agarbatti, Incense Sticks",34
07-10-1985,Toothpaste,10
07-11-1985,Cereal & Granola Bars,117
07-12-1985,Body Sprays & Mists,86
7-13-1985,Tools & Accessories,41
7-14-1985,Thai & Asian Sauces,12
7-15-1985,Pastas & Spaghetti,42
7-16-1985,Organic Dals & Pulses,27
7-17-1985,Organic Masalas & Spices,16
7-18-1985,Bathing Accessories,40
7-19-1985,Steel Storage Containers,18
7-20-1985,"Cutlery, Spoon & Fork",38
7-21-1985,Disinfectant Spray & Cleaners,34
7-22-1985,"Utensil Scrub-Pad, Glove",93
7-23-1985,Pet Meals & Treats,16
7-24-1985,"Chocolate, Peanut Spread",21
7-25-1985,Green Tea,44
7-26-1985,Talcum Powder,12
7-27-1985,Chocolates,34
7-28-1985,Oats & Porridge,39
7-29-1985,"Healthy, Baked Snacks",41
7-30-1985,Containers Sets,105
7-31-1985,Imported Noodles,169
08-01-1985,Diapers,33
08-02-1985,Crackers & Digestive,26
08-03-1985,Pastas & Spaghetti,25
08-04-1985,Blended Masalas,40
08-05-1985,Other Pooja Needs,52
08-06-1985,Frozen Fish & Seafood,45
08-07-1985,Car Freshener,52
08-08-1985,"Jams, Marmalade, Spreads",56
08-09-1985,Hair Care & Styling,26
08-10-1985,Organic Dry Fruits,46
08-11-1985,Face Care,21
08-12-1985,Women's Deodorants,15
8-13-1985,Baby Bath,46
8-14-1985,Tomatoes & Vegetables,38
8-15-1985,Glassware,33
8-16-1985,Chocolates,35
8-17-1985,Lunch Boxes,35
8-18-1985,Cream Biscuits & Wafers,17
8-19-1985,Cocktail Mixes,131
8-20-1985,Hand Wash & Sanitizers,127
8-21-1985,Hand Wash & Sanitizers,10
8-22-1985,"Jams, Marmalade, Spreads",69
8-23-1985,Raw Rice,37
8-24-1985,Toothpaste,37
8-25-1985,"Olive, Jalapeno, Gherkin",12
8-26-1985,Exotic Fruits,71
8-27-1985,Herbs & Seasoning,20
8-28-1985,Thai & Asian Sauces,39
8-29-1985,"Detergent Powder, Liquid",19
8-30-1985,Water & Fridge Bottles,14
8-31-1985,"Organic Sugar, Jaggery",3
09-01-1985,Chilli & Soya Sauce,13
09-02-1985,Olive & Canola Oils,169
09-03-1985,Body Care,142
09-04-1985,Mouthwash,46
09-05-1985,Eau De Parfum,30
09-06-1985,Containers Sets,43
09-07-1985,"Beans, Brinjals & Okra",56
09-08-1985,Thai & Asian Sauces,20
09-09-1985,Chutney Powder,14
09-10-1985,Oats & Porridge,18
09-11-1985,Gourmet Tea & Tea Bags,110
09-12-1985,Instant Noodles,9
9-13-1985,"Notebooks, Files, Folders",60
9-14-1985,Mosquito Repellent,34
9-15-1985,"Herbs, Seasonings & Rubs",30
9-16-1985,Chutney Powder,51
9-17-1985,Camphor & Wicks,13
9-18-1985,Blended Masalas,13
9-19-1985,"Cutlery, Spoon & Fork",8
9-20-1985,Breakfast & Snack Mixes,8
9-21-1985,Blended Masalas,89
9-22-1985,Blended Masalas,64
9-23-1985,Gourmet Tea & Tea Bags,45
9-24-1985,Pressure Cookers,13
9-25-1985,"Mops, Wipers",42
9-26-1985,Bathing Bars & Soaps,64
9-27-1985,"Chocolate, Peanut Spread",48
9-28-1985,"Curry Paste, Coconut Milk",16
9-29-1985,"Milk, White & Sandwich",23
9-30-1985,Floss & Tongue Cleaner,58
10-01-1985,Chicken Sausages,49
10-02-1985,Mouthwash,19
10-03-1985,Trail & Cocktail Mixes,40
10-04-1985,Shower Gel & Body Wash,70
10-05-1985,Buckets & Mugs,25
10-06-1985,Dishwash Bars & Powders,30
10-07-1985,Gourmet Juices & Drinks,50
10-08-1985,Women's Deodorants,30
10-09-1985,Powdered Spices,30
10-10-1985,Kitchen Tools & Other Accessories,37
10-11-1985,"Flavoured, Soya Milk",15
10-12-1985,Dust Cloth & Wipes,28
10-13-1985,Bathing Accessories,10
10-14-1985,Ayurveda,52
10-15-1985,Granola & Cereal Bars,51
10-16-1985,International Chocolates,21
10-17-1985,Honey & Maple Syrup,20
10-18-1985,Dry Fruits & Berries,38
10-19-1985,Salts,74
10-20-1985,Shaving Care,33
10-21-1985,Granola & Cereal Bars,29
10-22-1985,Car Polish & Cleaners,79
10-23-1985,Imported Noodles,23
10-24-1985,Gourmet Tea & Tea Bags,74
10-25-1985,Tomatoes & Vegetables,48
10-26-1985,Steel Lunch Boxes,27
10-27-1985,Pet Meals & Treats,35
10-28-1985,Flours & Pre-Mixes,10
10-29-1985,"Flavoured, Soya Milk",38
10-30-1985,Bath Salts & Oils,20
10-31-1985,"Cups, Mugs & Tumblers",160
11-01-1985,Ayurveda,12
11-02-1985,Face Care,22
11-03-1985,Eau De Parfum,19
11-04-1985,Breakfast & Snack Mixes,4
11-05-1985,"Pure, Pomace Olive Oil",7
11-06-1985,Extra Virgin Olive Oil,41
11-07-1985,Shampoo & Conditioner,21
11-08-1985,Kitchen Tools & Other Accessories,49
11-09-1985,Face Care,96
11-10-1985,Organic Dry Fruits,8
11-11-1985,Containers Sets,31
11-12-1985,"Poha, Sabudana & Murmura",9
11-13-1985,Shaving Care,9
11-14-1985,Gourmet Tea & Tea Bags,52
11-15-1985,"Cups, Mugs & Tumblers",20
11-16-1985,Mustard & Cheese Sauces,25
11-17-1985,Organic Dry Fruits,21
11-18-1985,Body Care,22
11-19-1985,Air Freshener,10
11-20-1985,Camphor & Wicks,16
11-21-1985,Face Care,10
11-22-1985,Pet Meals & Treats,56
11-23-1985,Tools & Accessories,87
11-24-1985,Dustbins,87
11-25-1985,Dust Cloth & Wipes,24
11-26-1985,Cookware Sets,25
11-27-1985,Eau De Toilette,30
11-28-1985,Health Drinks,26
11-29-1985,Blended Masalas,12
11-30-1985,"Cookies, Biscotti, Wafer",28
12-01-1985,Heat & Eat Ready Meals,75
12-02-1985,Steel Storage Containers,14
12-03-1985,Roasted Seeds & Nuts,44
12-04-1985,Women's Deodorants,30
12-05-1985,Shower Gel & Body Wash,36
12-06-1985,"Detergent Powder, Liquid",36
12-07-1985,Organic Masalas & Spices,28
12-08-1985,"Jams, Marmalade, Spreads",22
12-09-1985,Bathing Bars & Soaps,48
12-10-1985,Face Care,84
12-11-1985,"Curry Paste, Coconut Milk",44
12-12-1985,Granola & Cereal Bars,43
12-13-1985,Face,8
12-14-1985,Glassware,26
12-15-1985,Battery & Electrical,38
12-16-1985,Toilet Cleaners,30
12-17-1985,Hakka Noodles,23
12-18-1985,Face Care,45
12-19-1985,Organic Masalas & Spices,10
12-20-1985,Organic Dry Fruits,30
12-21-1985,Panty Liners,12
12-22-1985,"Cups, Mugs & Tumblers",82
12-23-1985,Flours & Pre-Mixes,98
12-24-1985,Other Edible Oils,57
12-25-1985,"Beans, Brinjals & Okra",17
12-26-1985,Muesli,17
12-27-1985,Eau De Toilette,15
12-28-1985,Crackers & Digestive,19
12-29-1985,Exotic & Flavoured Tea,33
12-30-1985,Water & Fridge Bottles,45
12-31-1985,Bathing Accessories,15
01-01-1986,"Herbs, Seasonings & Rubs",37
01-02-1986,Face & Body,11
01-03-1986,"Luxury Chocolates, Gifts",39
01-04-1986,Bathing Accessories,33
01-05-1986,Hand Wash & Sanitizers,20
01-06-1986,"Agarbatti, Incense Sticks",171
01-07-1986,Baby Bath,240
01-08-1986,Ayurveda,22
01-09-1986,"Notebooks, Files, Folders",43
01-10-1986,Face Care,47
01-11-1986,Pet Meals & Treats,11
01-12-1986,Shampoo & Conditioner,20
1-13-1986,Raw Rice,35
1-14-1986,Mouthwash,45
1-15-1986,Cereal & Granola Bars,41
1-16-1986,Women's Deodorants,57
1-17-1986,Other Edible Oils,62
1-18-1986,"Wet Wipe, Pocket Tissues",22
1-19-1986,Organic Masalas & Spices,33
1-20-1986,Aromatherapy,43
1-21-1986,Candles & Match Box,60
1-22-1986,Face Care,28
1-23-1986,Kitchen Tools & Other Accessories,29
1-24-1986,Hair Oil & Serum,36
1-25-1986,Cream & Cheese Spreads,122
1-26-1986,Kadai & Fry Pans,130
1-27-1986,Frozen Vegetables,12
1-28-1986,Ayurveda,82
1-29-1986,Imported Noodles,45
1-30-1986,Mosquito Repellent,108
1-31-1986,Plates & Bowls,85
02-01-1986,Dry Fruits & Berries,63
02-02-1986,"Cooking Chocolate, Cocoa",49
02-03-1986,Gourmet Tea & Tea Bags,160
02-04-1986,Blended Masalas,33
02-05-1986,Hair Oil & Serum,62
02-06-1986,Baby Food,23
02-07-1986,Herbs & Seasoning,126
02-08-1986,Body Care,99
02-09-1986,Baby Bath,38
02-10-1986,Pet Meals & Treats,15
02-11-1986,Men's Deodorants,30
02-12-1986,"Cookies, Biscotti, Wafer",37
2-13-1986,Powdered Spices,29
2-14-1986,Men's Deodorants,4
2-15-1986,Women's Deodorants,45
2-16-1986,Powdered Spices,38
2-17-1986,"Marshmallow, Candy, Jelly",31
2-18-1986,Coffee & Pre-Mix,20
2-19-1986,Ayurveda,35
2-20-1986,"Baking, Cake Decorations",12
2-21-1986,Frozen Non-Veg Snacks,108
2-22-1986,Blended Masalas,125
2-23-1986,"Organic Sugar, Jaggery",42
2-24-1986,International Cheese,29
2-25-1986,Cereal & Granola Bars,50
2-26-1986,Imported Cleaners,39
2-27-1986,Bathing Bars & Soaps,61
2-28-1986,Aromatherapy,26
03-01-1986,"Papads, Ready To Fry",78
03-02-1986,Frozen Fish & Seafood,12
03-03-1986,"Agarbatti, Incense Sticks",88
03-04-1986,Plates & Bowls,60
03-05-1986,Organic Dals & Pulses,20
03-06-1986,Pet Meals & Treats,101
03-07-1986,Colours & Crayons,124
03-08-1986,Fresh Sweets,92
03-09-1986,Eau De Cologne,30
03-10-1986,Detergent Bars,38
03-11-1986,"Mops, Wipers",69
03-12-1986,Tools & Accessories,44
3-13-1986,Diapers,39
3-14-1986,Face Care,35
3-15-1986,Toothbrush,65
3-16-1986,"Cups, Mugs & Tumblers",19
3-17-1986,Panty Liners,103
3-18-1986,Buckets & Mugs,25
3-19-1986,Shampoo & Conditioner,13
3-20-1986,Curd,28
3-21-1986,CFL & Led Bulbs,32
3-22-1986,"Laundry, Storage Baskets",27
3-23-1986,Face Care,43
3-24-1986,Hair Oil & Serum,22
3-25-1986,Organic Dals & Pulses,79
3-26-1986,Kadai & Fry Pans,59
3-27-1986,Ayurveda,27
3-28-1986,Health Drinks,14
3-29-1986,Basmati Rice,51
3-30-1986,"Unsweetened, Cold Press",42
3-31-1986,Hair Oil & Serum,15
04-01-1986,Face Care,41
04-02-1986,Tomato Ketchup & Sauces,41
04-03-1986,Shampoo & Conditioner,23
04-04-1986,Bathing Accessories,51
04-05-1986,Eau De Toilette,78
04-06-1986,Pet Meals & Treats,21
04-07-1986,Containers Sets,32
04-08-1986,Sanitary Napkins,33
04-09-1986,"Kitchen, Glass & Drain",123
04-10-1986,Eau De Toilette,18
04-11-1986,Ayurveda,33
04-12-1986,Exotic Sugar & Salt,78
4-13-1986,"Curry Paste, Coconut Milk",37
4-14-1986,Air Freshener,38
4-15-1986,Floor & Other Cleaners,71
4-16-1986,Other Veg Pickle,29
4-17-1986,Ayurveda,185
4-18-1986,Granola & Cereal Bars,146
4-19-1986,Muffins & Cup Cakes,47
4-20-1986,Flavoured & Greek Yogurt,53
4-21-1986,"Organic Sugar, Jaggery",54
4-22-1986,Face & Body,85
4-23-1986,Quinoa & Grains,46
4-24-1986,Plates & Bowls,56
4-25-1986,"Hummus, Cheese, Salsa Dip",99
4-26-1986,Frozen Non-Veg Snacks,48
4-27-1986,Diapers,61
4-28-1986,"Chocolate, Peanut Spread",65
4-29-1986,Diapers,79
4-30-1986,"Organic Edible Oil, Ghee",72
05-01-1986,International Cheese,8
05-02-1986,"Jams, Marmalade, Spreads",39
05-03-1986,Cold Drinks,56
05-04-1986,Organic Fruits,18
05-05-1986,"Notebooks, Files, Folders",17
05-06-1986,Bath Salts & Oils,280
05-07-1986,Shampoo & Conditioner,293
05-08-1986,Plates & Bowls,65
05-09-1986,Heat & Eat Ready Meals,7
05-10-1986,Roasted Seeds & Nuts,73
05-11-1986,Instant Noodles,82
05-12-1986,Organic Masalas & Spices,209
5-13-1986,Car Freshener,77
5-14-1986,Air Freshener,45
5-15-1986,Salts,162
5-16-1986,Hair Removal,14
5-17-1986,Cold Drinks,14
5-18-1986,Pressure Cookers,52
5-19-1986,Hair Color,40
5-20-1986,Floor & Other Cleaners,81
5-21-1986,"Chocolate, Peanut Spread",16
5-22-1986,Children (2-5 Yrs),40
5-23-1986,Khari & Cream Rolls,71
5-24-1986,Face Care,20
5-25-1986,"Toffee, Candy & Lollypop",57
5-26-1986,Sexual Wellness,56
5-27-1986,"Marshmallow, Candy, Jelly",32
5-28-1986,Namkeen & Savoury Snacks,46
5-29-1986,Blended Masalas,14
5-30-1986,"Mops, Wipers",25
5-31-1986,Home Baking,20
06-01-1986,Muesli & Rice Cakes,48
06-02-1986,Eau De Toilette,12
06-03-1986,Face Care,28
06-04-1986,Sugar & Jaggery,3
06-05-1986,Diapers,15
06-06-1986,"Detergent Powder, Liquid",53
06-07-1986,Face Care,19
06-08-1986,Blended Masalas,22
06-09-1986,Soda & Cocktail Mix,49
06-10-1986,Sugar & Jaggery,12
06-11-1986,Cashews,14
06-12-1986,Kadai & Fry Pans,10
6-13-1986,Cookware Sets,54
6-14-1986,Blended Masalas,12
6-15-1986,Water & Fridge Bottles,14
6-16-1986,Face Care,24
6-17-1986,Shampoo & Conditioner,31
6-18-1986,Salts,38
6-19-1986,Rice & Other Flours,7
6-20-1986,"Hangers, Clips & Rope",6
6-21-1986,Pastas & Spaghetti,9
6-22-1986,Hand Wash & Sanitizers,8
6-23-1986,Organic Fruits,11
6-24-1986,Ice Creams,26
6-25-1986,Men's Deodorants,15
6-26-1986,Electric Toothbrush,113
6-27-1986,"Baking, Cake Decorations",143
6-28-1986,Tea Cakes & Slice Cakes,46
6-29-1986,"Organic Rice, Other Rice",29
6-30-1986,Pressure Cookers,29
07-01-1986,Imported Noodles,83
07-02-1986,Bath & Shower,32
07-03-1986,Air Freshener,37
07-04-1986,Cereals & Millets,79
07-05-1986,Perfume,17
07-06-1986,Air Freshener,2
07-07-1986,Eau De Toilette,66
07-08-1986,Everyday Medicine,68
07-09-1986,Cotton & Ear Buds,14
07-10-1986,Pastas & Spaghetti,24
07-11-1986,Ayurveda,36
07-12-1986,"Cups, Mugs & Tumblers",31
7-13-1986,Heat & Eat Ready Meals,61
7-14-1986,Bathing Bars & Soaps,27
7-15-1986,Disposable Cups & Plates,42
7-16-1986,Dustbins,30
7-17-1986,Face Care,20
7-18-1986,Ayurveda,68
7-19-1986,Hair Color,41
7-20-1986,Cereal & Granola Bars,39
7-21-1986,"Cut Fruit, Tender Coconut",30
7-22-1986,Cereal & Granola Bars,30
7-23-1986,Eau De Parfum,108
7-24-1986,Breakfast & Snack Mixes,118
7-25-1986,Blended Masalas,29
7-26-1986,Blended Masalas,29
7-27-1986,Blended Masalas,42
7-28-1986,Baby Food,85
7-29-1986,Honey,46
7-30-1986,Lunch Boxes,46
7-31-1986,Face & Body,69
08-01-1986,Diapers,21
08-02-1986,Ground Coffee,51
08-03-1986,Diapers,64
08-04-1986,Fresh Sweets,43
08-05-1986,"Detergent Powder, Liquid",31
08-06-1986,Meats & Sausages,28
08-07-1986,Face Care,22
08-08-1986,"Toffee, Candy & Lollypop",59
08-09-1986,Organic Masalas & Spices,34
08-10-1986,Gourmet Juices & Drinks,21
08-11-1986,Raisins,12
08-12-1986,"Healthy, Baked Snacks",42
8-13-1986,Shower Gel & Body Wash,11
8-14-1986,CFL & Led Bulbs,35
8-15-1986,Eau De Toilette,13
8-16-1986,Ghee & Vanaspati,15
8-17-1986,Rice & Other Flours,21
8-18-1986,Men's Deodorants,28
8-19-1986,Brooms & Dust Pans,89
8-20-1986,Chicken Sausages,49
8-21-1986,Containers Sets,5
8-22-1986,Blended Masalas,16
8-23-1986,Pet Cleaning & Grooming,31
8-24-1986,"Papads, Ready To Fry",28
8-25-1986,Roasted Seeds & Nuts,60
8-26-1986,"Kitchen, Glass & Drain",25
8-27-1986,Cook And Serve,29
8-28-1986,Containers Sets,12
8-29-1986,Hair Care & Styling,31
8-30-1986,"Scissor, Glue & Tape",32
8-31-1986,"Mops, Wipers",8
09-01-1986,Everyday Medicine,15
09-02-1986,Face Care,15
09-03-1986,Lamp & Lamp Oil,45
09-04-1986,Shampoo & Conditioner,43
09-05-1986,Face Care,17
09-06-1986,Shampoo & Conditioner,54
09-07-1986,Face Care,41
09-08-1986,Other Edible Oils,27
09-09-1986,Chips & Corn Snacks,44
09-10-1986,Flavoured & Other Oils,12
09-11-1986,Coffee & Pre-Mix,124
09-12-1986,Other Veg Pickle,31
9-13-1986,"Pure, Pomace Olive Oil",79
9-14-1986,Organic Vegetables,7
9-15-1986,Eyes,36
9-16-1986,Granola & Cereal Bars,14
9-17-1986,Nachos & Chips,174
9-18-1986,Oats & Porridge,141
9-19-1986,"Curry Paste, Coconut Milk",71
9-20-1986,Ayurveda,109
9-21-1986,"Strainer, Ladle, Spatula",31
9-22-1986,Exotic Sugar & Salt,52
9-23-1986,Air Freshener,81
9-24-1986,Namkeen & Savoury Snacks,148
9-25-1986,Face Care,49
9-26-1986,Moustache & Beard Care,66
9-27-1986,Organic Flours,129
9-28-1986,"Curry Paste, Coconut Milk",95
9-29-1986,Pet Meals & Treats,193
9-30-1986,Balsamic & Cider Vinegar,43
10-01-1986,Organic Masalas & Spices,22
10-02-1986,Thai & Asian Sauces,79
10-03-1986,Body Care,95
10-04-1986,Rusks,20
10-05-1986,Imported Noodles,56
10-06-1986,"Sunflower, Rice Bran Oil",88
10-07-1986,Air Freshener,26
10-08-1986,Gourmet Tea & Tea Bags,19
10-09-1986,Hair & Scalp Treatment,17
10-10-1986,Shampoo & Conditioner,64
10-11-1986,Toilet Paper,55
10-12-1986,Containers Sets,23
10-13-1986,"Strainer, Ladle, Spatula",31
10-14-1986,Toilet & Other Brushes,28
10-15-1986,International Chocolates,51
10-16-1986,Gourmet Popcorn,111
10-17-1986,Gourmet Tea & Tea Bags,29
10-18-1986,"Jam, Conserve, Marmalade",35
10-19-1986,Choppers & Graters,48
10-20-1986,Face Masks & Safety Gears,60
10-21-1986,Vermicelli,25
10-22-1986,Eau De Toilette,76
10-23-1986,Face Care,44
10-24-1986,Knives & Peelers,35
10-25-1986,Eau De Toilette,71
10-26-1986,Bathing Bars & Soaps,117
10-27-1986,Plates & Bowls,53
10-28-1986,"Mops, Wipers",30
10-29-1986,Glassware,31
10-30-1986,Basmati Rice,64
10-31-1986,Tea Cakes & Slice Cakes,66
11-01-1986,Gourmet Popcorn,34
11-02-1986,Organic Masalas & Spices,38
11-03-1986,Face Care,67
11-04-1986,Organic Masalas & Spices,51
11-05-1986,Baby Bath,31
11-06-1986,"Chocolate, Peanut Spread",9
11-07-1986,Face Care,258
11-08-1986,Air Freshener,278
11-09-1986,"Herbs, Seasonings & Rubs",68
11-10-1986,Bathing Bars & Soaps,100
11-11-1986,Hand Wash & Sanitizers,73
11-12-1986,Lip Care,145
11-13-1986,Talc,66
11-14-1986,Namkeen & Savoury Snacks,115
11-15-1986,"Healthy, Baked Snacks",63
11-16-1986,Organic Masalas & Spices,122
11-17-1986,Organic Vegetables,29
11-18-1986,Garbage Bags,90
11-19-1986,Shampoo & Conditioner,181
11-20-1986,Supplements & Proteins,151
11-21-1986,Hair Care & Styling,46
11-22-1986,Bathing Bars & Soaps,74
11-23-1986,Dinner Sets,17
11-24-1986,Moustache & Beard Care,145
11-25-1986,Eau De Cologne,170
11-26-1986,"Marshmallow, Candy, Jelly",131
11-27-1986,Bathing Bars & Soaps,23
11-28-1986,"Organic Rice, Other Rice",19
11-29-1986,Gift Wraps & Bags,33
11-30-1986,Basmati Rice,11
12-01-1986,Face Care,32
12-02-1986,Face Care,21
12-03-1986,Lamp & Lamp Oil,86
12-04-1986,Face & Body,25
12-05-1986,"Flavoured, Soya Milk",113
12-06-1986,Powdered Spices,66
